"Ticker
","Company Name
","Exchange
","Sector L2
","20. Attributable to parent company
Year: 2019
Unit: Billions VND
","20. Attributable to parent company
Year: 2020
Unit: Billions VND
","20. Attributable to parent company
Year: 2021
Unit: Billions VND
","20. Attributable to parent company
Year: 2022
Unit: Billions VND
","20. Attributable to parent company
Year: 2023
Unit: Billions VND
","3. Net sales
Year: 2019
Unit: Billions VND
","3. Net sales
Year: 2020
Unit: Billions VND
","3. Net sales
Year: 2021
Unit: Billions VND
","3. Net sales
Year: 2022
Unit: Billions VND
","3. Net sales
Year: 2023
Unit: Billions VND
","5. Gross Profit
Year: 2019
Unit: Billions VND
","5. Gross Profit
Year: 2020
Unit: Billions VND
","5. Gross Profit
Year: 2021
Unit: Billions VND
","5. Gross Profit
Year: 2022
Unit: Billions VND
","5. Gross Profit
Year: 2023
Unit: Billions VND
","11. Operating profit/(loss)
Year: 2019
Unit: Billions VND
","11. Operating profit/(loss)
Year: 2020
Unit: Billions VND
","11. Operating profit/(loss)
Year: 2021
Unit: Billions VND
","11. Operating profit/(loss)
Year: 2022
Unit: Billions VND
","11. Operating profit/(loss)
Year: 2023
Unit: Billions VND
","18. Net profit/(loss) after tax
Year: 2019
Unit: Billions VND
","18. Net profit/(loss) after tax
Year: 2020
Unit: Billions VND
","18. Net profit/(loss) after tax
Year: 2021
Unit: Billions VND
","18. Net profit/(loss) after tax
Year: 2022
Unit: Billions VND
","18. Net profit/(loss) after tax
Year: 2023
Unit: Billions VND
","II. OWNER'S EQUITY
Year: 2019
Unit: Billions VND
","II. OWNER'S EQUITY
Year: 2020
Unit: Billions VND
","II. OWNER'S EQUITY
Year: 2021
Unit: Billions VND
","II. OWNER'S EQUITY
Year: 2022
Unit: Billions VND
","II. OWNER'S EQUITY
Year: 2023
Unit: Billions VND
","1.13. Minority interests
Year: 2019
Unit: Billions VND
","1.13. Minority interests
Year: 2020
Unit: Billions VND
","1.13. Minority interests
Year: 2021
Unit: Billions VND
","1.13. Minority interests
Year: 2022
Unit: Billions VND
","1.13. Minority interests
Year: 2023
Unit: Billions VND
"
CTD,COTECCONS construction,HOSE,Construction & Materials,710.89,334.37,24.01,20.71,187.94,23733.03,14558.09,9077.92,14536.95,16528.21,1048.11,856.41,275.2,486.73,425.98,857.05,401.3,-7.28,-53.54,238.25,710.92,334.55,24.11,20.79,187.92,8469.52,8398.67,8247.56,8213.96,8407.43,0.0,0.0,0.0,0.0,0.0
NTP,Tien Phong Plastics,HNX,Construction & Materials,409.03,447.19,467.76,479.54,559.41,4673.87,4486.11,4823.52,5685.11,5175.86,1348.49,1388.17,1140.92,1390.58,1556.22,467.66,520.93,557.87,562.67,655.17,409.03,447.19,467.76,479.54,559.41,2567.42,2589.29,2707.98,2830.82,3115.5,0.0,0.0,0.0,0.0,0.0
KSV,Vinacomin - Minerals Holding,HNX,Basic Resources,-13.56,156.89,833.82,96.5,134.48,6145.24,6162.99,7991.14,12250.91,11911.91,616.81,951.77,2001.05,1130.7,1122.84,15.16,245.13,1306.65,283.52,269.6,-43.02,204.65,1084.4,194.35,160.0,2399.19,2461.21,3320.0,3094.74,2920.78,0.0,0.0,0.0,0.0,0.0
NT2,Nhon Trach 2 Power,HOSE,Utilities,754.17,625.24,533.79,883.42,473.08,7653.69,6082.25,6149.58,8787.69,6385.88,974.4,894.77,675.81,1081.53,510.29,767.22,667.12,558.61,956.74,513.68,754.17,625.24,533.79,883.42,473.08,4126.94,4297.54,4233.57,4613.84,4335.85,0.0,0.0,0.0,0.0,0.0
NKG,Nam Kim Steel,HOSE,Basic Resources,47.33,295.27,2225.26,-124.68,117.41,12176.8,11559.67,28173.4,23071.25,18595.97,341.75,869.21,4269.86,1481.36,1112.26,-105.23,317.18,2550.94,-106.84,177.07,47.33,295.27,2225.26,-124.68,117.41,3016.81,3181.02,5723.2,5319.65,5423.07,0.0,0.0,0.0,0.0,0.0
ACG,An Cuong Wood,HOSE,Basic Resources,486.38,491.98,451.28,615.58,436.72,4434.57,3753.61,3293.51,4475.48,3762.13,1102.1,1017.96,895.89,1337.85,1107.61,549.52,559.01,541.94,748.53,528.88,486.38,491.98,451.28,615.58,436.72,3370.71,3516.69,3776.8,3912.22,4173.56,0.0,0.0,0.0,0.0,0.0
CTS,Vietinbank Securities,HOSE,Financial Services,114.81,128.19,386.5,71.07,187.4,504.98,608.99,1064.55,872.16,1144.23,242.58,280.49,715.82,395.89,690.46,139.21,148.95,481.1,78.71,229.98,114.81,128.19,386.5,71.07,187.4,1313.04,1437.44,1811.81,1854.32,2037.93,,,,,
VCF,VinaCafé Bien Hoa ,HOSE,Food & Beverage,680.82,723.6,428.84,319.11,449.95,3097.45,2901.29,2216.91,2207.03,2352.52,864.47,890.34,555.47,493.79,514.62,798.27,902.09,548.39,399.97,564.57,677.78,720.84,428.53,319.11,449.95,1442.07,1498.44,1262.49,1662.83,2112.78,0.0,0.0,0.0,0.0,0.0
VSC,Vietnam Container Shipping,HOSE,Industrial Goods & Services,233.98,239.71,349.94,314.29,123.62,1792.75,1688.87,1892.13,2007.4,2180.95,436.9,449.31,602.39,658.73,654.44,345.26,331.35,488.43,484.0,268.04,285.8,296.4,413.8,393.14,199.02,2070.08,2170.7,2996.13,3201.2,3294.31,0.0,0.0,0.0,0.0,0.0
IJC,Becamex IJC,HOSE,Real Estate,284.44,369.9,621.11,511.05,394.85,1599.82,2141.3,2601.72,1968.12,1494.34,537.63,662.5,991.0,808.86,650.67,343.71,445.97,779.65,626.44,483.07,284.44,369.9,621.11,511.05,394.85,1832.35,2070.24,3343.8,3816.24,3823.59,0.0,0.0,0.0,0.0,0.0
